v = 5.230673  valongX = 2.826144
v = 4.761636  valongX = 2.572723
v = 2.439902  valongX = 1.318285
v = 0.967712  valongX = 0.522857
v = 0.588386  valongX = 0.317906
v = 0.543007  valongX = 0.293388
v = 0.540378  valongX = 0.291968
v = 0.540303  valongX = 0.291927
v = 5.215364  valongX = 2.936769
v = 4.750138  valongX = 2.674801
v = 2.447267  valongX = 1.378055
v = 0.987037  valongX = 0.555800
v = 0.610793  valongX = 0.343937
v = 0.565782  valongX = 0.318592
v = 0.563175  valongX = 0.317123
v = 0.563101  valongX = 0.317082
v = 4.920714  valongX = 2.970218
v = 4.489005  valongX = 2.709632
v = 2.352042  valongX = 1.419728
v = 0.997011  valongX = 0.601811
v = 0.647873  valongX = 0.391066
v = 0.606104  valongX = 0.365854
v = 0.603685  valongX = 0.364394
v = 0.603616  valongX = 0.364352
v = 5.024493  valongX = 3.313908
v = 4.587998  valongX = 3.026018
v = 2.427352  valongX = 1.600962
v = 1.057305  valongX = 0.697347
v = 0.704299  valongX = 0.464521
v = 0.662068  valongX = 0.436668
v = 0.659621  valongX = 0.435054
v = 0.659552  valongX = 0.435008
v = 3.780169  valongX = 2.756959
v = 3.475084  valongX = 2.534453
v = 1.964914  valongX = 1.433054
v = 1.007330  valongX = 0.734667
v = 0.760597  valongX = 0.554720
v = 0.731081  valongX = 0.533193
v = 0.729370  valongX = 0.531945
v = 0.729322  valongX = 0.531910
v = 1.506310  valongX = 1.213652
v = 1.436251  valongX = 1.157204
v = 1.089454  valongX = 0.877785
v = 0.869554  valongX = 0.700609
v = 0.812894  valongX = 0.654958
v = 0.806116  valongX = 0.649497
v = 0.805722  valongX = 0.649180
v = 0.805712  valongX = 0.649171
v = 0.925202  valongX = -0.812479
v = 0.744866  valongX = -0.654115
v = 0.147800  valongX = 0.129793
v = 0.713832  valongX = 0.626862
v = 0.859677  valongX = 0.754938
v = 0.877124  valongX = 0.770259
v = 0.878135  valongX = 0.771146
v = 0.878163  valongX = 0.771171
v = 9.627713  valongX = -9.602256
v = 8.565207  valongX = -8.542559
v = 3.305797  valongX = -3.297056
v = 0.029070  valongX = 0.029070
v = 0.763327  valongX = 0.761309
v = 0.984191  valongX = 0.981589
v = 0.996986  valongX = 0.994350
v = 0.997350  valongX = 0.994713
v = 5.226108  valongX = -5.134913
v = 4.436589  valongX = -4.359171
v = 1.456063  valongX = -1.430654
v = 0.433862  valongX = 0.426291
v = 0.920823  valongX = 0.904755
v = 0.979078  valongX = 0.961993
v = 0.982453  valongX = 0.965309
v = 0.982549  valongX = 0.965403
v = 4.450923  valongX = -4.334128
v = 3.907117  valongX = -3.804591
v = 1.353702  valongX = -1.318180
v = 0.033652  valongX = -0.032769
v = 0.522746  valongX = 0.509028
v = 0.771758  valongX = 0.751507
v = 0.858890  valongX = 0.836352
v = 0.908772  valongX = 0.884925
v = 0.988806  valongX = -0.969093
v = 0.791919  valongX = -0.776131
v = 0.182672  valongX = 0.179031
v = 0.800651  valongX = 0.784690
v = 0.959880  valongX = 0.940745
v = 0.978929  valongX = 0.959414
v = 0.980032  valongX = 0.960495
v = 0.980064  valongX = 0.960526
v = 0.350919  valongX = 0.347104
v = 0.414740  valongX = 0.410232
v = 0.730654  valongX = 0.722712
v = 0.930973  valongX = 0.920853
v = 0.982587  valongX = 0.971906
v = 0.988762  valongX = 0.978013
v = 0.989119  valongX = 0.978367
v = 0.989129  valongX = 0.978377
v = 4.091942  valongX = 4.078480
v = 4.139209  valongX = 4.125592
v = 3.545295  valongX = 3.533632
v = 1.747536  valongX = 1.741787
v = 1.831971  valongX = 1.825944
v = 0.375211  valongX = 0.373976
v = 1.548091  valongX = 1.542998
v = 0.131630  valongX = 0.131197
v = 1.638067  valongX = 1.632678
v = 0.002324  valongX = 0.002324
v = 1.865462  valongX = 1.859325
v = 0.092880  valongX = -0.092574
v = 1.820191  valongX = 1.814203
v = 0.237213  valongX = -0.236433
v = 1.926278  valongX = 1.919941
v = 0.388622  valongX = -0.387343
v = 3.967594  valongX = 3.967080
v = 3.765980  valongX = 3.765492
v = 3.410945  valongX = 3.410503
v = 2.072011  valongX = 2.071742
v = 1.530850  valongX = 1.530652
